layer_name,bit_position,auroc,fpr,detection_error,auroc_fi,fpr_fi,detection_error_fi
layer2.1.conv1,2,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,3,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,4,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,5,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,6,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,7,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,8,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,9,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,10,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,11,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,12,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,13,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,14,90.32,39.29,15.84,90.32,39.31,15.84
layer2.1.conv1,15,90.32,39.29,15.84,90.32,39.31,15.84
layer2.1.conv1,16,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,17,90.32,39.29,15.84,90.32,39.31,15.84
layer2.1.conv1,18,90.32,39.29,15.84,90.32,39.31,15.84
layer2.1.conv1,19,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,20,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,21,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,22,90.32,39.29,15.84,90.32,39.3,15.84
layer2.1.conv1,23,90.32,39.29,15.84,90.32,39.27,15.84
layer2.1.conv1,24,90.32,39.29,15.84,90.32,39.32,15.84
layer2.1.conv1,25,90.32,39.29,15.84,90.32,39.43,15.83
layer2.1.conv1,26,90.32,39.29,15.84,90.32,39.17,15.84
layer2.1.conv1,27,90.32,39.29,15.84,90.38,39.26,15.76
layer2.1.conv1,28,90.32,39.29,15.84,90.32,39.28,15.83
layer2.1.conv1,29,90.32,39.29,15.84,90.32,39.31,15.83
layer2.1.conv1,30,90.32,39.29,15.84,78.6,46.23,21.46
layer2.1.conv2,0,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,1,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,2,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,3,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,4,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,5,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,6,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,7,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,8,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,9,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,10,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,11,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,12,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,13,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,14,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,15,90.32,39.29,15.84,90.32,39.28,15.84
layer2.1.conv2,16,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv2,17,90.32,39.29,15.84,90.32,39.29,15.84
